Gene stable ID,Gene name
ENSRNOG00000006139,Stx18
ENSRNOG00000039305,LOC102547118
ENSRNOG00000045945,AABR07066440.1
ENSRNOG00000024499,AABR07027342.1
ENSRNOG00000059128,AABR07057237.2
ENSRNOG00000050553,Atp6v1c2
ENSRNOG00000051963,AABR07009638.2
ENSRNOG00000054990,AABR07060133.1
ENSRNOG00000004505,Nfic
ENSRNOG00000054844,AABR07063746.1
ENSRNOG00000057429,5S_rRNA
ENSRNOG00000056144,Olr29
ENSRNOG00000019019,Fitm1
ENSRNOG00000055026,U6
ENSRNOG00000052417,Gm23822
ENSRNOG00000013579,LOC100359916
ENSRNOG00000006353,Large2
ENSRNOG00000050514,LOC684509
ENSRNOG00000013855,Zmym1
ENSRNOG00000046227,Tprg1l
ENSRNOG00000018047,Gorasp1
ENSRNOG00000054067,AABR07005837.1
ENSRNOG00000060872,AABR07017513.1
ENSRNOG00000054828,AABR07051708.1
ENSRNOG00000059013,AABR07060519.1
ENSRNOG00000054668,U6
ENSRNOG00000060665,Afap1
ENSRNOG00000050409,AABR07049722.1
ENSRNOG00000014230,Map1a
ENSRNOG00000053514,U6
ENSRNOG00000032132,AABR07037998.1
ENSRNOG00000055607,U6
ENSRNOG00000001592,Cct8
ENSRNOG00000025938,Lin28b
ENSRNOG00000001928,Il1rap
ENSRNOG00000046260,LOC688320
ENSRNOG00000008680,Loxl1
ENSRNOG00000031899,Vom1r36
ENSRNOG00000033372,Klhl24
ENSRNOG00000050556,AABR07003935.15
ENSRNOG00000057491,U7
ENSRNOG00000059235,AABR07018837.1
ENSRNOG00000049797,NEWGENE_1311658
ENSRNOG00000060127,AABR07013217.1
ENSRNOG00000049482,AABR07017681.1
ENSRNOG00000007359,Gca
ENSRNOG00000048837,LOC102554121
ENSRNOG00000032558,AABR07030263.1
ENSRNOG00000004588,Zbed4
ENSRNOG00000050654,Olr526
ENSRNOG00000048275,RGD1309350
ENSRNOG00000022890,RGD1562532
ENSRNOG00000029479,AC119015.2
ENSRNOG00000029773,Atm
ENSRNOG00000004649,Il1b
ENSRNOG00000052232,Cyb561d1
ENSRNOG00000050521,Tspo2
ENSRNOG00000037124,Fam227b
ENSRNOG00000045918,Jarid2
ENSRNOG00000014834,Epc1
ENSRNOG00000003357,Col3a1
ENSRNOG00000020460,Banf1
